matchId,href,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
lSa8piUG,https://www.flashscore.com/match/basketball/estonia-nsrT0eeP/turkey-EJrArDma/summary/?mid=lSa8piUG,01.09. 13:45,Estonia,Turkey,64,84,13,14,22,15,,25,21,19,19,
tOku4xR6,https://www.flashscore.com/match/basketball/montenegro-rN44xrxQ/sweden-fuqXiPgO/summary/?mid=tOku4xR6,01.09. 12:30,Sweden,Montenegro,81,87,15,19,31,16,,18,22,24,23,
IobKVryn,https://www.flashscore.com/match/basketball/bosnia-herzegovina-bqdHahmn/italy-n5lUdjX4/summary/?mid=IobKVryn,31.08. 20:30,Bosnia & Herzegovina,Italy,79,96,21,19,21,18,,22,22,28,24,
SIMQY8me,https://www.flashscore.com/match/basketball/iceland-QeebgR95/poland-G6eedmug/summary/?mid=SIMQY8me,31.08. 20:30,Poland,Iceland,84,75,19,22,20,23,,16,16,19,24,
67U1D1LH,https://www.flashscore.com/match/basketball/cyprus-YPE5m6og/spain-OKERpL3q/summary/?mid=67U1D1LH,31.08. 17:15,Spain,Cyprus,91,47,19,22,29,21,,9,8,12,18,
EB2LfjAE,https://www.flashscore.com/match/basketball/france-dS5MsX25/israel-Q7cwvk2U/summary/?mid=EB2LfjAE,31.08. 17:00,Israel,France,82,69,17,19,19,27,,22,14,20,13,
2ZNABujU,https://www.flashscore.com/match/basketball/georgia-E9skCSvt/greece-ba2gXuFg/summary/?mid=2ZNABujU,31.08. 14:00,Georgia,Greece,53,94,13,16,12,12,,22,24,23,25,
YFPYWnI7,https://www.flashscore.com/match/basketball/belgium-jk5QtiIB/slovenia-vHfUe4nd/summary/?mid=YFPYWnI7,31.08. 14:00,Slovenia,Belgium,86,69,16,27,21,22,,10,21,17,21,
zLsntieL,https://www.flashscore.com/match/basketball/israel-Q7cwvk2U/poland-G6eedmug/summary/?mid=zLsntieL,30.08. 20:30,Poland,Israel,66,64,19,18,11,18,,14,12,25,13,
xSxoHqMh,https://www.flashscore.com/match/basketball/bosnia-herzegovina-bqdHahmn/spain-OKERpL3q/summary/?mid=xSxoHqMh,30.08. 20:30,Spain,Bosnia & Herzegovina,88,67,24,20,28,16,,16,14,17,20,
